iter	Passed	Remaining
0	197	196880
1	257	128246
2	318	105697
3	377	94066
4	438	87309
5	496	82185
6	559	79300
7	613	76070
8	678	74729
9	747	73986
10	816	73375
11	880	72498
12	945	71798
13	999	70372
14	1051	69028
15	1100	67662
16	1149	66447
17	1201	65523
18	1253	64720
19	1304	63927
20	1353	63100
21	1401	62304
22	1449	61587
23	1499	60972
24	1545	60261
25	1598	59870
26	1645	59292
27	1697	58920
28	1749	58564
29	1779	57544
30	1828	57159
31	1882	56934
32	1937	56783
33	1995	56704
34	2054	56651
35	2116	56672
36	2182	56801
37	2239	56685
38	2300	56697
39	2360	56656
40	2445	57200
41	2544	58037
42	2605	57997
43	2665	57919
44	2733	58020
45	2804	58169
46	2869	58177
47	2924	57995
48	2982	57876
49	3041	57781
50	3100	57700
51	3154	57507
52	3212	57404
53	3265	57202
54	3319	57030
55	3385	57061
56	3438	56882
57	3494	56762
58	3562	56819
59	3615	56648
60	3676	56597
61	3728	56410
62	3779	56213
63	3832	56054
64	3888	55932
65	3944	55818
66	4000	55714
67	4059	55632
68	4111	55476
69	4177	55505
70	4231	55372
71	4308	55528
72	4377	55587
73	4439	55553
74	4500	55502
75	4571	55584
76	4636	55583
77	4694	55494
78	4750	55386
79	4806	55270
80	4860	55142
81	4917	55055
82	4990	55132
83	5057	55147
84	5111	55024
85	5167	54924
86	5224	54832
87	5285	54780
88	5347	54733
89	5404	54644
90	5459	54536
91	5509	54380
92	5561	54239
93	5615	54125
94	5667	53988
95	5721	53877
96	5771	53729
97	5825	53615
98	5874	53460
99	5923	53314
100	5972	53157
101	6024	53038
102	6077	52928
103	6127	52794
104	6178	52663
105	6229	52538
106	6280	52413
107	6334	52321
108	6393	52266
109	6465	52307
110	6528	52284
111	6596	52301
112	6658	52265
113	6716	52203
114	6770	52099
115	6828	52036
116	6886	51973
117	6944	51907
118	7004	51856
119	7061	51787
120	7122	51740
121	7176	51650
122	7230	51551
123	7281	51440
124	7332	51324
125	7350	50990
126	7400	50874
127	7450	50758
128	7510	50712
129	7560	50596
130	7616	50521
131	7667	50422
132	7717	50307
133	7769	50210
134	7816	50082
135	7868	49990
136	7923	49909
137	7972	49800
138	8023	49697
139	8074	49597
140	8123	49491
141	8172	49377
142	8222	49278
143	8240	48986
144	8287	48867
145	8336	48760
146	8385	48659
147	8434	48552
148	8484	48456
149	8507	48207
150	8555	48102
151	8604	48004
152	8657	47930
153	8707	47833
154	8765	47784
155	8814	47690
156	8863	47593
157	8915	47511
158	8963	47410
159	9012	47316
160	9062	47224
161	9097	47061
162	9144	46954
163	9197	46884
164	9250	46812
165	9301	46733
166	9348	46630
167	9395	46531
168	9446	46451
169	9500	46385
170	9550	46300
171	9609	46259
172	9662	46191
173	9710	46097
174	9758	46004
175	9807	45916
176	9855	45826
177	9903	45735
178	9955	45662
179	10004	45576
180	10054	45495
181	10103	45412
182	10158	45353
183	10210	45283
184	10262	45210
185	10313	45134
186	10363	45054
187	10412	44971
188	10463	44900
189	10516	44834
190	10567	44760
191	10617	44680
192	10668	44607
193	10719	44536
194	10768	44455
195	10816	44367
196	10864	44285
197	10918	44223
198	10966	44142
199	11014	44058
200	11061	43971
201	11113	43902
202	11162	43825
203	11212	43751
204	11262	43677
205	11337	43698
206	11405	43692
207	11474	43693
208	11526	43625
209	11576	43551
210	11627	43480
211	11677	43403
212	11725	43324
213	11773	43244
214	11823	43170
215	11873	43097
216	11921	43014
217	11969	42936
218	12017	42855
219	12064	42775
220	12111	42690
221	12160	42616
222	12208	42538
223	12256	42460
224	12306	42388
225	12356	42318
226	12408	42253
227	12455	42173
228	12502	42091
229	12552	42024
230	12605	41964
231	12658	41903
232	12706	41828
233	12759	41767
234	12809	41699
235	12859	41628
236	12905	41548
237	12957	41486
238	13007	41418
239	13056	41346
240	13105	41275
241	13156	41208
242	13219	41180
243	13268	41109
244	13317	41038
245	13366	40968
246	13417	40903
247	13465	40831
248	13515	40762
249	13565	40696
250	13618	40637
251	13666	40565
252	13713	40491
253	13776	40461
254	13826	40395
255	13876	40327
256	13925	40259
257	13976	40195
258	14023	40121
259	14071	40049
260	14120	39981
261	14171	39917
262	14220	39851
263	14268	39779
264	14316	39707
265	14364	39638
266	14415	39575
267	14469	39520
268	14524	39468
269	14581	39424
270	14640	39383
271	14695	39331
272	14749	39278
273	14801	39218
274	14850	39150
275	14899	39085
276	14949	39020
277	14999	38955
278	15051	38896
279	15099	38827
280	15148	38760
281	15199	38699
282	15247	38631
283	15293	38557
284	15341	38488
285	15390	38422
286	15443	38365
287	15497	38312
288	15549	38254
289	15600	38193
290	15650	38132
291	15699	38065
292	15748	37999
293	15797	37935
294	15847	37872
295	15899	37814
296	15948	37749
297	15994	37677
298	16043	37613
299	16094	37553
300	16143	37489
301	16191	37422
302	16240	37358
303	16289	37295
304	16338	37230
305	16385	37161
306	16436	37103
307	16485	37039
308	16533	36973
309	16583	36910
310	16634	36853
311	16689	36802
312	16739	36741
313	16789	36680
314	16840	36621
315	16891	36562
316	16942	36502
317	16988	36435
318	17037	36371
319	17084	36304
320	17133	36241
321	17185	36186
322	17233	36120
323	17279	36051
324	17334	36001
