,rooms,area,floor,total_floors,city,district,residential_complex,house_type,condition,bathroom,ceiling_height,house_age,floor_ratio,is_first_floor,is_last_floor,description_len,lat,lon,coordinates_found,price_per_m2,price
0,2,65.0,8.0,20.0,Астана,unknown,A-City,монолитный,unknown,совмещенный,3.0,1,0.4,0,0,220,51.1207799,71.5037993,1,484615.38,31500000
1,3,90.0,14.0,14.0,Астана,Есильский р-н,Turan Life,монолитный,unknown,2 с/у и более,2.7,3,1.0,0,1,1040,51.129084,71.400691,1,811111.11,73000000
2,3,77.4,10.0,12.0,Алматы,Алмалинский р-н,Shabyt,монолитный,свежий ремонт,совмещенный,3.0,1,0.8333333333333334,0,0,575,43.2500749,76.9082224,0,1005167.96,77800000
3,3,100.0,6.0,16.0,Астана,Есильский р-н,Zangar,монолитный,unknown,unknown,3.0,2,0.375,0,0,209,51.0991643,71.4072649,1,1200000.0,120000000
4,4,131.72,5.0,3.5,Шымкент,Енбекшинский р-н,Aulet Residence,кирпичный,unknown,2 с/у и более,3.2,2,0.6,0,0,1686,42.3146962,69.5883282,1,669600.0,88199712
5,3,97.7,5.0,12.0,Алматы,Алатауский р-н,Arena City. Park,монолитный,unknown,2 с/у и более,3.0,0,0.6,0,0,1886,43.2363924,76.9457275,1,791000.0,77280700
6,2,60.6,5.0,18.0,Астана,Нура р-н,Respublika,монолитный,unknown,совмещенный,3.0,0,0.6,0,0,2545,51.1282205,71.4306682,1,745000.0,45147000
7,2,54.02,5.0,12.0,Алматы,Алатауский р-н,Arena City. Park,монолитный,unknown,совмещенный,3.0,0,0.6,0,0,1886,43.2363924,76.9457275,1,837689.74,45252000
8,3,105.08,5.0,14.0,Шымкент,Абайский р-н,MUQAGALI,монолитный,unknown,unknown,3.0,1,0.6,0,0,3141,42.3146962,69.5883282,1,419000.0,44028520
9,3,78.9,1.0,9.0,Шымкент,Каратауский р-н,Otau City,панельный,unknown,раздельный,3.0,3,0.1111111111111111,1,0,76,42.3512194,69.6236919,0,430925.22,34000000
10,2,73.4,2.0,4.0,Алматы,Турксибский р-н,Nomad City,монолитный,"не новый, но аккуратный ремонт",совмещенный,3.0,7,0.5,0,0,414,43.3107502,76.95789,0,728882.83,53500000
11,2,65.0,7.0,9.0,Астана,Сарайшык р-н,Yrys,кирпичный,свежий ремонт,совмещенный,2.8,1,0.7777777777777778,0,0,317,51.1362795,71.5561335,1,492307.69,32000000
12,4,94.64,5.0,6.0,Алматы,Турксибский р-н,Dream City. Eco,монолитный,unknown,2 с/у и более,2.7,1,0.6,0,0,2551,43.2363924,76.9457275,1,610000.0,57730400
13,4,110.8,5.0,8.0,Астана,Нура р-н,Expo Residence,монолитный,unknown,2 с/у и более,3.0,10,0.625,0,0,537,51.0931455,71.406645,1,627256.32,69500000
14,2,46.0,7.0,12.0,Алматы,Бостандыкский р-н,Ozen Park Navoi,монолитный,свежий ремонт,unknown,2.8,3,0.5833333333333334,0,0,597,43.1948318,76.8883234,1,1260869.57,58000000
15,1,39.0,2.0,14.0,Астана,Нура р-н,Turan Life,монолитный,свежий ремонт,совмещенный,2.7,2,0.14285714285714285,0,0,1212,51.1282205,71.3890349,0,820512.82,32000000
16,2,60.4,4.0,10.0,Астана,Есильский р-н,Bucharest,кирпичный,unknown,совмещенный,2.7,5,0.4,0,0,919,51.1079256,71.4273513,0,894039.74,54000000
17,2,36.0,8.0,9.0,Алматы,Наурызбайский р-н,Nurly Dala 2,монолитный,свежий ремонт,совмещенный,2.62,5,0.8888888888888888,0,0,663,43.2169826,76.8078742,0,683333.33,24600000
18,4,126.5,4.0,19.0,Астана,Есильский р-н,unknown,монолитный,черновая отделка,2 с/у и более,2.85,5,0.21052631578947367,0,0,987,51.1058819,71.3959893,1,576284.58,72900000
19,3,66.3,6.0,10.0,Астана,Сарыарка р-н,unknown,кирпичный,unknown,раздельный,2.85,14,0.6,0,0,187,51.1706621,71.3839703,1,542986.43,36000000
20,1,37.0,5.0,5.0,Алматы,Бостандыкский р-н,unknown,кирпичный,требует ремонта,совмещенный,2.8,49,1.0,0,1,1720,43.1994193,76.8872734,1,770270.27,28500000
21,3,155.0,6.0,12.0,Алматы,Алмалинский р-н,Жагалау,монолитный,unknown,2 с/у и более,13.0,14,0.5,0,0,514,43.2382138,76.8725964,1,774193.55,120000000
22,2,70.38,5.0,13.0,Астана,Есильский р-н,MOD Ultra,монолитный,unknown,2 с/у и более,3.0,0,0.6,0,0,2327,51.1282205,71.4306682,1,997000.0,70168860
23,4,97.0,2.0,14.0,Астана,Нура р-н,Turan Palace,монолитный,unknown,2 с/у и более,3.0,1,0.14285714285714285,0,0,143,51.0895183,71.3913166,1,556701.03,54000000
24,4,100.0,6.0,9.0,Алматы,Алмалинский р-н,unknown,панельный,unknown,раздельный,2.8,37,0.6666666666666666,0,0,487,43.2135191,76.8346765,1,830000.0,83000000
25,2,37.0,8.0,12.0,Астана,Нура р-н,Qaiyndy 3,кирпичный,unknown,совмещенный,3.0,1,0.6666666666666666,0,0,403,51.1282205,71.3890349,0,770270.27,28500000
26,3,88.64,5.0,9.0,Астана,р-н Байконур,DARMEN,монолитный,unknown,unknown,3.0,0,0.6,0,0,2526,51.1282205,71.4306682,1,665000.0,58945600
27,1,41.61,5.0,9.0,Астана,Есильский р-н,Jetisu.Aspan,монолитный,unknown,совмещенный,2.65,0,0.6,0,0,2602,51.1282205,71.4306682,1,725000.0,30167250
28,2,80.0,3.0,7.0,Алматы,Бостандыкский р-н,Miras Park,монолитный,свежий ремонт,совмещенный,3.3,10,0.42857142857142855,0,0,1105,43.2261794,76.89391225,0,1187500.0,95000000
29,3,79.4,5.0,9.0,Астана,Нура р-н,Alem Sana,монолитный,unknown,unknown,3.0,0,0.6,0,0,1503,51.1282205,71.4306682,1,531000.0,42161400
30,2,58.0,3.0,9.0,Астана,Нура р-н,Absolute,монолитный,"не новый, но аккуратный ремонт",совмещенный,3.0,9,0.3333333333333333,0,0,133,51.1422003,71.3708195,1,568965.52,33000000
31,2,40.0,2.0,3.0,Алматы,Наурызбайский р-н,Lancashire,монолитный,unknown,совмещенный,3.2,3,0.6666666666666666,0,0,588,43.2169826,76.8078742,0,1175000.0,47000000
32,2,56.01,5.0,9.0,Астана,р-н Байконур,DARMEN,монолитный,unknown,совмещенный,3.0,0,0.6,0,0,2526,51.1282205,71.4306682,1,697841.1,39086080
33,2,48.0,1.0,4.0,Алматы,Ауэзовский р-н,unknown,кирпичный,"не новый, но аккуратный ремонт",совмещенный,2.8,52,0.25,1,0,1190,43.2149014,76.87683609999999,0,677083.33,32500000
34,1,37.8,8.0,11.0,Астана,Есильский р-н,Мангилик,монолитный,"не новый, но аккуратный ремонт",совмещенный,2.7,7,0.7272727272727273,0,0,423,51.0893816,71.4269779,1,820105.82,31000000
35,2,65.72,5.0,15.0,Астана,Нура р-н,Qasteev,монолитный,unknown,совмещенный,3.0,-1,0.6,0,0,1536,51.1282205,71.4306682,1,992000.0,65194240
36,3,55.0,8.0,9.0,Астана,Сарыарка р-н,unknown,кирпичный,unknown,совмещенный,2.85,56,0.8888888888888888,0,0,89,51.1801203,71.4093691,1,390909.09,21500000
37,2,53.0,7.0,12.0,Астана,Есильский р-н,Triumph City,монолитный,свежий ремонт,совмещенный,3.0,1,0.5833333333333334,0,0,650,51.0993827,71.4321172,1,639622.64,33900000
38,1,35.0,9.0,12.0,Астана,Алматы р-н,Саламат,монолитный,unknown,совмещенный,2.7,11,0.75,0,0,201,51.1606092,71.4999311,1,442857.14,15500000
40,1,40.0,5.0,6.0,Алматы,Алатауский р-н,Buta Fenomen,монолитный,unknown,совмещенный,2.85,2,0.8333333333333334,0,0,285,43.2609721,76.87274995,0,845000.0,33800000
41,1,32.0,10.0,10.0,Алматы,Алмалинский р-н,River Time,монолитный,свежий ремонт,совмещенный,2.7,3,1.0,0,1,1113,43.2509344,76.9385137,1,840625.0,26900000
42,3,95.0,4.0,21.0,Алматы,Бостандыкский р-н,unknown,монолитный,свежий ремонт,2 с/у и более,3.0,20,0.19047619047619047,0,0,354,43.2261794,76.89391225,0,773684.21,73500000
43,2,39.1,7.0,9.0,Алматы,Наурызбайский р-н,Alatau Plus,монолитный,свободная планировка,unknown,2.7,0,0.7777777777777778,0,0,147,43.2169826,76.8078742,0,544757.03,21300000
44,1,36.0,4.0,9.0,Астана,Сарайшык р-н,Ansau,кирпичный,свежий ремонт,совмещенный,3.0,1,0.4444444444444444,0,0,109,51.1129018,71.5284829,1,652777.78,23500000
45,2,41.2,8.0,9.0,Астана,Нура р-н,GreenLine.Ару Кала,кирпичный,unknown,совмещенный,3.0,5,0.8888888888888888,0,0,608,51.1381964,71.3861517,1,837378.64,34500000
46,4,149.2,5.0,3.0,Алматы,Медеуский р-н,Tamga Residence,монолитный,unknown,2 с/у и более,3.3,0,0.6,0,0,2344,43.2363924,76.9457275,1,1615000.0,240958000
47,3,107.2,4.0,5.0,Алматы,Медеуский р-н,unknown,кирпичный,unknown,раздельный,2.8,52,0.8,0,0,1870,43.2324575,76.87409,1,1054104.48,113000000
48,1,37.0,16.0,22.0,Астана,Нура р-н,Arena Towers,монолитный,unknown,unknown,3.0,2,0.7272727272727273,0,0,638,51.1109682,71.3977625,1,851351.35,31500000
49,4,75.0,1.0,5.0,Алматы,Бостандыкский р-н,unknown,панельный,свежий ремонт,unknown,2.7,53,0.2,1,0,593,43.2261794,76.89391225,0,746666.65,55999999
50,3,72.0,10.0,16.0,Шымкент,Каратауский р-н,Urban Hills,монолитный,unknown,раздельный,3.3,1,0.625,0,0,581,42.3512194,69.6236919,0,694444.44,50000000
51,2,53.0,2.0,5.0,Алматы,Бостандыкский р-н,unknown,кирпичный,"не новый, но аккуратный ремонт",совмещенный,2.85,39,0.4,0,0,689,43.237797,76.899989,1,943396.23,50000000
52,4,122.0,11.0,20.0,Астана,Есильский р-н,Nexpo Classic Style,монолитный,unknown,unknown,3.0,1,0.55,0,0,280,51.0860872,71.4028072,1,1270491.8,155000000
53,4,108.0,7.0,9.0,Астана,Есильский р-н,Aqzam,монолитный,свежий ремонт,2 с/у и более,3.0,1,0.7777777777777778,0,0,1019,51.0782093,71.4247939,1,1092592.59,118000000
54,1,39.0,3.0,9.0,Астана,Нура р-н,Dastur,кирпичный,свежий ремонт,unknown,3.0,4,0.3333333333333333,0,0,235,51.1012755,71.38825,1,666666.67,26000000
55,2,46.2,9.0,9.0,Алматы,Турксибский р-н,Altyn City,монолитный,свежий ремонт,совмещенный,2.8,1,1.0,0,1,410,43.3107502,76.95789,0,714285.71,33000000
56,3,73.6,2.0,3.0,Алматы,Турксибский р-н,unknown,кирпичный,unknown,раздельный,2.85,43,0.6666666666666666,0,0,1321,43.3107502,76.95789,0,516304.35,38000000
57,3,128.8,3.0,16.0,Астана,Сарайшык р-н,unknown,монолитный,unknown,unknown,3.0,18,0.1875,0,0,578,51.1276179,71.4592998,1,644409.94,83000000
58,1,32.5,1.0,4.0,Алматы,Алмалинский р-н,unknown,панельный,unknown,совмещенный,2.6,46,0.25,1,0,475,43.2500749,76.9082224,0,784615.38,25500000
59,3,79.57,5.0,7.0,Астана,Есильский р-н,Beles City. Baq Sarai,монолитный,unknown,совмещенный,3.0,0,0.6,0,0,2096,51.1282205,71.4306682,1,460000.0,36602200
60,3,101.0,3.0,3.0,Алматы,unknown,Mountain Park,монолитный,unknown,раздельный,3.0,5,1.0,0,1,956,43.2363924,76.8922997,0,861386.14,87000000
61,5,250.0,3.0,3.0,Астана,Сарыарка р-н,unknown,кирпичный,"не новый, но аккуратный ремонт",2 с/у и более,2.8,19,1.0,0,1,864,51.1723991,71.3938913,0,528000.0,132000000
62,4,75.0,2.0,4.0,Алматы,Алмалинский р-н,unknown,кирпичный,unknown,unknown,2.85,76,0.5,0,0,531,43.2600394,76.943449,1,1026666.67,77000000
63,4,157.9,5.0,15.0,Астана,Нура р-н,RAUDA,монолитный,unknown,совмещенный,3.0,2,0.6,0,0,3070,51.1282205,71.4306682,1,700000.0,110530000
64,3,61.0,9.0,12.0,Астана,unknown,Baidaulet,кирпичный,свежий ремонт,unknown,3.0,1,0.75,0,0,323,51.1274971,71.3650814,1,803262.3,48999000
65,2,83.0,9.0,18.0,Астана,Есильский р-н,Алатау,монолитный,свежий ремонт,2 с/у и более,3.0,17,0.5,0,0,337,51.1192994,71.4294973,1,566265.06,47000000
66,3,70.0,1.0,6.0,Алматы,Медеуский р-н,unknown,кирпичный,unknown,раздельный,2.7,36,0.16666666666666666,1,0,710,50.2819561,57.2182781,1,842857.14,59000000
67,3,86.3,5.0,12.0,Алматы,Алмалинский р-н,Palladium,монолитный,unknown,2 с/у и более,3.0,1,0.6,0,0,2273,43.2363924,76.9457275,1,1100000.0,94930000
68,4,240.0,6.0,9.0,Алматы,Бостандыкский р-н,unknown,монолитный,свежий ремонт,2 с/у и более,3.3,22,0.6666666666666666,0,0,1298,43.2248051,76.9377251,1,666666.67,160000000
