iter	RMSE
0	0.2983225021
1	0.2920623347
2	0.2861596739
3	0.2804929641
4	0.2750907347
5	0.2700569167
6	0.2652709366
7	0.2609200134
8	0.2569303999
9	0.2532514893
10	0.2496924163
11	0.2455702278
12	0.2425503392
13	0.2386815332
14	0.235192169
15	0.2318297443
16	0.2285384802
17	0.2256874508
18	0.2230023492
19	0.2204398794
20	0.2178888626
21	0.2157029469
22	0.2136647277
23	0.211560589
24	0.2099016017
25	0.2081974355
26	0.2066679494
27	0.2050331566
28	0.203635996
29	0.2024378104
30	0.2010616548
31	0.1998167545
32	0.1986360064
33	0.1976283599
34	0.1966832577
35	0.1958847876
36	0.1949441528
37	0.1940362351
38	0.1931446904
39	0.1928073661
40	0.1921436062
41	0.191495439
42	0.1906965182
43	0.1900951073
44	0.1894570258
45	0.1888790948
46	0.1882026265
47	0.1875662383
48	0.1869170122
49	0.1862759792
50	0.1857538576
51	0.1851099307
52	0.1843812954
53	0.1839173689
54	0.1834784894
55	0.1830904943
56	0.1827585521
57	0.1823367434
58	0.1819694578
59	0.1814212043
60	0.181032215
61	0.1806429629
62	0.1802811052
63	0.1798579862
64	0.179520656
65	0.1791662197
66	0.1788695685
67	0.1782682049
68	0.1779435366
69	0.1777028713
70	0.1772577531
71	0.1770060485
72	0.1767329618
73	0.1763243559
74	0.1760177083
75	0.1757023569
76	0.1754384775
77	0.1752457136
78	0.1748565818
79	0.1744770452
80	0.1741443309
81	0.1738764458
82	0.1736337379
83	0.1734127548
84	0.1733126126
85	0.1730052164
86	0.1727296291
87	0.1723895446
88	0.1720571643
89	0.1717362616
90	0.1714491906
91	0.1711114374
92	0.1708652845
93	0.1705618891
94	0.1703321825
95	0.1701854898
96	0.1699724588
97	0.1697129117
98	0.1694468872
99	0.1693613369
100	0.1692507059
101	0.1691394584
102	0.1690335896
103	0.1688408535
104	0.1686459627
105	0.1684271669
106	0.1682206102
107	0.1681379994
108	0.1679993885
109	0.1678572645
110	0.1677388617
111	0.167373749
112	0.1672794406
113	0.16712035
114	0.1670597376
115	0.1669585415
116	0.1668103199
117	0.1664704665
118	0.1662311297
119	0.1660725781
120	0.1658283425
121	0.1656471476
122	0.1654375474
123	0.1653130172
124	0.1650775123
125	0.1649769056
126	0.1646943881
127	0.1644966193
128	0.1642832767
129	0.1640282538
130	0.1639314919
131	0.1638603583
132	0.1637549818
133	0.1635895141
134	0.1634212006
135	0.1632472035
136	0.1630585005
137	0.1629581728
138	0.1628517939
139	0.1627929372
140	0.1626777793
141	0.1625295987
142	0.1624172549
143	0.1622203369
144	0.162192107
145	0.16202419
146	0.1617992104
147	0.1616399582
148	0.1613747598
149	0.1611961542
150	0.161024245
151	0.160893328
152	0.1607657082
153	0.1606269328
154	0.1605394126
155	0.1604189168
156	0.1603306346
157	0.1602234367
158	0.1600568258
159	0.1599328882
160	0.1597040808
161	0.1596209555
162	0.159534855
163	0.1594558033
164	0.1592295811
165	0.1591659449
166	0.159077654
167	0.159031144
168	0.1588677912
169	0.1587488613
170	0.1585354868
171	0.1583985611
172	0.1582589998
173	0.157996934
174	0.1578524823
175	0.1577927979
176	0.1575367946
177	0.1574235219
178	0.1573349146
179	0.157203662
180	0.1570199534
181	0.1569163554
182	0.1566579921
183	0.1564309486
184	0.1563520107
185	0.1561196952
186	0.1559909004
187	0.1558862197
188	0.155790427
189	0.155563583
190	0.1555139124
191	0.1554349048
192	0.1552166309
193	0.1550378594
194	0.1548659101
195	0.1547425937
196	0.1545733316
197	0.1544611081
198	0.1543739118
199	0.1542439898
200	0.1541234379
201	0.1540033232
202	0.1539329274
203	0.1538894012
204	0.1538037828
205	0.1537083156
206	0.1536295771
207	0.1534441373
208	0.1532247712
209	0.1530518047
210	0.15295911
211	0.1529018934
212	0.1527655058
213	0.1527063185
214	0.1526635548
215	0.152543531
216	0.1523627107
217	0.1522972167
218	0.1522237186
219	0.1520682092
220	0.1518751996
221	0.1517476049
222	0.1516924852
223	0.1515643476
224	0.15150273
225	0.1514711942
226	0.1514454958
227	0.1513761715
228	0.1513138307
229	0.1512284706
230	0.1510941868
231	0.1509557241
232	0.1508155913
233	0.1506202471
234	0.1505474737
235	0.1504878108
236	0.1503057734
237	0.1501490385
238	0.1501018327
239	0.1499600047
240	0.1498321772
241	0.1496939741
242	0.1496495745
243	0.1495292809
244	0.1493678178
245	0.1491919693
246	0.1491270863
247	0.148983851
248	0.1488863592
249	0.1488101609
250	0.1486279022
251	0.148592241
252	0.1485043521
