iter	Passed	Remaining
0	98	98306
1	198	98879
2	311	103391
3	377	93896
4	443	88244
5	550	91168
6	615	87306
7	680	84419
8	745	82066
9	814	80623
10	886	79746
11	961	79194
12	1029	78150
13	1094	77073
14	1178	77396
15	1260	77502
16	1331	77017
17	1391	75911
18	1441	74433
19	1495	73283
20	1546	72118
21	1598	71054
22	1651	70157
23	1718	69880
24	1770	69031
25	1822	68276
26	1870	67407
27	1923	66774
28	1974	66115
29	2023	65411
30	2081	65063
31	2143	64849
32	2202	64532
33	2260	64219
34	2318	63923
35	2375	63623
36	2428	63211
37	2485	62921
38	2537	62525
39	2559	61436
40	2623	61367
41	2682	61178
42	2741	61010
43	2806	60968
44	2869	60898
45	2937	60912
46	3000	60847
47	3072	60933
48	3136	60878
49	3207	60944
50	3271	60884
51	3341	60915
52	3401	60780
53	3459	60602
54	3512	60356
55	3568	60158
56	3629	60044
57	3691	59949
58	3749	59804
59	3813	59742
60	3869	59565
61	3929	59448
62	3986	59296
63	4038	59062
64	4095	58910
65	4147	58692
66	4208	58600
67	4284	58723
68	4340	58562
69	4395	58391
70	4449	58222
71	4504	58056
72	4559	57893
73	4613	57727
74	4675	57661
75	4736	57583
76	4801	57550
77	4859	57443
78	4918	57344
79	4974	57205
80	5024	57003
81	5078	56859
82	5142	56812
83	5204	56757
84	5273	56771
85	5339	56745
86	5400	56674
87	5454	56526
88	5512	56420
89	5572	56341
90	5629	56233
91	5685	56111
92	5741	55997
93	5805	55956
94	5875	55973
95	5975	56266
96	6031	56144
97	6088	56040
98	6145	55928
99	6215	55942
100	6272	55833
101	6328	55716
102	6383	55587
103	6435	55443
104	6516	55545
105	6589	55578
106	6663	55613
107	6724	55538
108	6782	55440
109	6850	55425
110	6920	55425
111	6986	55394
112	7048	55331
113	7105	55219
114	7161	55109
115	7217	55002
116	7277	54921
117	7341	54871
118	7400	54788
119	7463	54729
120	7528	54687
121	7596	54670
122	7658	54608
123	7717	54522
124	7784	54491
125	7847	54432
126	7916	54414
127	8026	54681
128	8107	54741
129	8163	54635
130	8218	54515
131	8272	54397
132	8328	54294
133	8383	54181
134	8438	54067
135	8496	53979
136	8552	53873
137	8616	53822
138	8667	53688
139	8722	53581
140	8777	53473
141	8830	53358
142	8883	53235
143	8939	53141
144	8980	52954
145	9031	52828
146	9085	52719
147	9163	52749
148	9242	52788
149	9316	52793
150	9377	52727
151	9437	52652
152	9494	52560
153	9556	52496
154	9620	52446
155	9679	52369
156	9761	52412
157	9846	52471
158	9907	52405
159	9963	52309
160	10021	52225
161	10080	52145
162	10156	52151
163	10242	52211
164	10307	52159
165	10366	52080
166	10421	51982
167	10478	51895
168	10536	51808
169	10593	51719
170	10651	51638
171	10708	51551
172	10765	51463
173	10826	51392
174	10884	51313
175	10942	51228
176	11003	51164
177	11076	51152
178	11134	51070
179	11192	50986
180	11250	50905
181	11309	50829
182	11374	50781
183	11434	50709
184	11503	50675
185	11558	50583
186	11616	50504
187	11680	50449
188	11739	50372
189	11792	50275
190	11845	50173
191	11899	50078
192	11952	49977
193	12007	49885
194	12057	49777
195	12111	49682
196	12166	49592
197	12220	49499
198	12279	49424
199	12338	49352
200	12396	49275
201	12454	49201
202	12521	49161
203	12582	49097
204	12636	49003
205	12722	49038
206	12791	49002
207	12849	48927
208	12907	48849
209	12964	48770
210	13015	48668
211	13067	48571
212	13122	48485
213	13175	48391
214	13228	48300
215	13283	48213
216	13338	48130
217	13391	48038
218	13443	47943
219	13498	47858
220	13555	47780
221	13620	47733
222	13687	47690
223	13753	47646
224	13819	47601
225	13907	47631
226	13973	47584
227	14032	47513
228	14092	47445
229	14148	47367
230	14215	47322
231	14271	47244
232	14326	47160
233	14379	47072
234	14434	46987
235	14488	46902
236	14542	46818
237	14597	46737
238	14651	46652
239	14705	46566
240	14767	46507
241	14820	46421
242	14872	46330
243	14924	46240
244	14978	46158
245	15040	46098
246	15103	46045
247	15176	46018
248	15243	45975
249	15316	45950
250	15381	45898
251	15450	45860
252	15521	45829
253	15577	45751
254	15628	45660
255	15683	45580
256	15736	45495
257	15796	45430
258	15868	45398
259	15926	45330
260	15986	45265
261	16060	45238
262	16137	45221
263	16198	45160
264	16262	45105
265	16318	45027
266	16373	44951
267	16429	44873
268	16496	44828
269	16549	44745
270	16631	44739
271	16690	44670
272	16745	44593
273	16802	44520
274	16851	44426
275	16908	44353
276	16955	44255
277	17015	44190
278	17076	44128
279	17138	44071
280	17202	44015
281	17254	43932
282	17309	43855
283	17368	43787
284	17423	43712
285	17477	43632
286	17538	43570
287	17594	43496
288	17647	43416
289	17708	43354
290	17769	43293
291	17826	43222
292	17877	43138
293	17933	43065
294	17972	42951
295	18028	42878
296	18089	42816
297	18149	42754
298	18210	42693
299	18265	42620
300	18321	42547
301	18372	42464
302	18427	42388
303	18479	42307
304	18534	42234
305	18587	42155
306	18639	42076
307	18690	41993
308	18745	41919
309	18800	41845
310	18854	41769
311	18912	41703
312	18967	41632
313	19023	41560
314	19077	41486
315	19132	41413
316	19189	41344
317	19244	41272
318	19298	41198
319	19360	41141
320	19416	41071
321	19470	40997
322	19524	40922
323	19581	40854
324	19636	40784
325	19692	40713
326	19747	40642
327	19800	40567
328	19857	40499
329	19911	40425
330	19967	40357
331	20022	40285
332	20077	40215
333	20134	40148
334	20188	40074
335	20242	40003
336	20293	39923
337	20351	39860
338	20407	39791
339	20464	39726
340	20515	39646
341	20582	39600
342	20642	39540
343	20696	39467
344	20752	39399
345	20807	39328
346	20864	39262
347	20915	39186
348	20972	39120
349	21024	39045
350	21080	38977
351	21135	38909
352	21189	38836
353	21241	38762
354	21295	38691
355	21350	38623
356	21406	38556
357	21460	38485
358	21513	38412
359	21571	38349
360	21628	38283
361	21681	38212
362	21736	38144
363	21786	38066
364	21837	37990
365	21890	37920
366	21954	37867
367	22021	37819
368	22080	37758
369	22140	37698
370	22191	37624
371	22245	37554
372	22301	37488
373	22357	37422
374	22421	37369
375	22483	37313
376	22542	37252
377	22597	37184
378	22651	37115
379	22700	37036
380	22753	36967
381	22807	36897
382	22863	36832
383	22916	36761
384	22975	36700
385	23027	36628
386	23081	36561
387	23133	36489
388	23190	36425
389	23241	36351
390	23310	36306
391	23368	36244
392	23422	36177
393	23481	36116
394	23536	36049
395	23592	35984
396	23646	35916
397	23702	35850
398	23756	35783
399	23815	35723
400	23870	35656
401	23928	35595
402	23985	35532
403	24039	35464
404	24096	35400
405	24151	35335
406	24223	35293
407	24279	35229
408	24334	35162
409	24388	35095
410	24442	35028
411	24496	34961
412	24551	34895
413	24605	34828
414	24659	34761
415	24715	34696
416	24771	34632
417	24829	34571
418	24885	34506
419	24938	34438
420	24993	34373
421	25052	34313
422	25109	34251
423	25163	34183
424	25217	34117
425	25272	34052
426	25323	33982
427	25374	33911
428	25429	33846
429	25482	33778
430	25538	33714
431	25591	33648
432	25645	33582
433	25700	33517
434	25755	33452
435	25808	33385
436	25865	33323
437	25918	33256
438	25973	33191
439	26027	33125
440	26078	33056
441	26135	32994
442	26187	32926
443	26241	32861
444	26299	32800
445	26361	32745
446	26423	32690
447	26487	32636
448	26549	32580
449	26608	32520
450	26665	32459
451	26720	32395
452	26775	32331
453	26828	32264
454	26881	32199
455	26934	32132
456	26992	32071
457	27060	32023
458	27115	31959
459	27179	31906
460	27234	31842
461	27296	31786
462	27353	31724
463	27408	31662
464	27466	31601
465	27519	31534
466	27575	31472
467	27629	31408
468	27681	31340
469	27740	31281
470	27804	31228
471	27870	31177
472	27942	31132
473	27998	31069
474	28053	31007
475	28107	30941
476	28159	30874
477	28214	30812
478	28274	30753
479	28328	30689
480	28392	30636
481	28447	30571
482	28504	30510
483	28562	30451
484	28620	30390
485	28676	30329
486	28735	30269
487	28792	30208
488	28849	30147
489	28906	30086
490	28962	30024
491	29028	29972
492	29080	29906
493	29138	29846
494	29193	29783
495	29254	29726
496	29309	29662
497	29369	29605
498	29423	29541
499	29479	29479
500	29537	29419
501	29593	29357
502	29647	29293
503	29702	29230
504	29755	29166
505	29837	29129
506	29891	29065
507	29942	28999
508	29998	28937
509	30057	28878
510	30116	28819
511	30174	28759
512	30229	28697
513	30280	28631
514	30334	28567
515	30388	28503
516	30437	28436
517	30493	28374
518	30548	28311
519	30604	28250
520	30660	28189
521	30717	28128
522	30772	28065
523	30825	28002
524	30899	27956
525	30952	27892
526	31006	27829
527	31061	27766
528	31118	27706
529	31172	27643
530	31226	27580
531	31279	27516
532	31335	27455
533	31387	27390
534	31442	27328
535	31492	27261
536	31545	27198
537	31598	27135
538	31653	27073
539	31708	27011
540	31763	26948
541	31819	26887
542	31876	26827
543	31932	26766
544	31987	26705
545	32047	26647
546	32119	26599
547	32173	26537
548	32228	26475
549	32282	26413
550	32337	26351
551	32390	26288
552	32445	26225
553	32498	26162
554	32552	26100
555	32605	26037
556	32657	25973
557	32711	25911
558	32766	25850
559	32834	25798
560	32891	25738
561	32949	25679
562	33007	25620
563	33070	25564
564	33128	25505
565	33193	25452
566	33251	25392
567	33310	25334
568	33365	25273
569	33420	25212
570	33473	25149
571	33526	25086
572	33579	25023
573	33637	24964
574	33696	24906
575	33757	24849
576	33810	24786
577	33864	24724
578	33919	24663
579	33973	24601
580	34027	24539
581	34083	24479
582	34139	24418
583	34193	24357
584	34248	24296
585	34303	24234
586	34358	24173
587	34410	24110
588	34465	24049
589	34518	23987
590	34573	23926
591	34630	23867
592	34697	23814
593	34758	23757
594	34822	23702
595	34877	23641
596	34933	23581
597	34985	23518
598	35040	23457
599	35094	23396
600	35153	23338
601	35209	23277
602	35263	23216
603	35322	23158
604	35379	23099
605	35444	23044
606	35502	22985
607	35562	22928
608	35627	22874
609	35685	22815
610	35743	22756
611	35796	22694
612	35854	22635
613	35914	22578
614	35965	22515
615	36021	22454
616	36074	22393
617	36131	22333
618	36188	22274
619	36244	22214
620	36297	22152
621	36355	22093
622	36409	22032
623	36462	21970
624	36515	21909
625	36571	21849
626	36624	21787
627	36678	21726
628	36734	21666
629	36787	21605
630	36843	21545
631	36897	21484
632	36956	21426
633	37011	21366
634	37069	21307
635	37138	21255
636	37195	21196
637	37253	21137
638	37308	21077
639	37363	21016
640	37418	20956
641	37488	20904
642	37545	20845
643	37601	20785
644	37662	20728
645	37717	20668
