,geocode_query,lat,lon
0,"Астана, ул. Темирбека Жургенова 17",51.1207799,71.5037993
1,"Астана, ул. Абикена Бектурова",51.129084,71.400691
2,"Алматы, Просп. Сакена Сейфуллина",,
3,"Астана, Улы дала 37",51.0991643,71.4072649
4,"Шымкент, ",42.3146962,69.5883282
5,"Алматы, ",43.2363924,76.9457275
6,"Астана, ",51.1282205,71.4306682
7,"Шымкент, мкр Туран-2, Туран 12 б",,
8,"Алматы, мкр Кайрат, Мкр. Кайрат, 152/1 152/1",,
9,"Астана, Трасса Астана-Караганда 4/3",51.1362795,71.5561335
10,"Астана, просп. Кабанбай батыра 60А/12",51.0931455,71.406645
11,"Алматы, Навои 200",43.1948318,76.8883234
12,"Астана, Абикен Бектурова 11/1",,
13,"Астана, А. Бокейханова",,
14,"Алматы, мкр Шугыла, Райымбек",,
15,"Астана, Туран 57Г",51.1058819,71.3959893
16,"Астана, ул. Шаймердена Косшыгулулы 19",51.1706621,71.3839703
17,"Алматы, Навои 310",43.1994193,76.8872734
18,"Алматы, Варламова 33",43.2382138,76.8725964
19,"Астана, Просп. Туран 83/2",51.0895183,71.3913166
20,"Алматы, Розыбакиева 23",43.2135191,76.8346765
21,"Астана, Чингиз Айтматов 77/7",,
22,"Алматы, Мкр «Мирас» 31",,
23,"Астана, ул. Ильяса Омарова 27",51.1422003,71.3708195
24,"Алматы, Мкр Курамыс 78",,
25,"Алматы, мкр Мамыр",,
26,"Астана, Бокейхана 42",51.0893816,71.4269779
27,"Астана, Женис 49",51.1801203,71.4093691
28,"Астана, Бухар жырау 32/1",51.0993827,71.4321172
29,"Астана, ул. Кайрата Рыскулбекова 31/1",51.1606092,71.4999311
30,"Алматы, мкр Нуркент 9",,
31,"Алматы, Карасай Батыра 345",43.2509344,76.9385137
32,"Алматы, ЖК Куат на Гагарина",,
33,"Алматы, мкр Шугыла, Алатау 12а/1",,
34,"Астана, Мухамеджан Тынышбайулы 10",51.1129018,71.5284829
35,"Астана, Анет баба 12",51.1381964,71.3861517
36,"Алматы, ул. Каныша Сатпаева 4А",43.2324575,76.87409
37,"Астана, Туран 55/5",51.1109682,71.3977625
38,"Алматы, Мкр. Орбита-1 31",,
39,"Шымкент, мкр Нурсат 2, Байтерекова 12",,
40,"Алматы, Жарокова 126",43.237797,76.899989
41,"Астана, Турар Рыскулова",51.0860872,71.4028072
42,"Астана, Хусейн Бен Талал 30",51.0782093,71.4247939
43,"Астана, ул. Толе Би 12/2",51.1012755,71.38825
44,"Алматы, Мкр. Кайрат 153/68блок24",,
45,"Алматы, мкр Жулдыз-1",,
46,"Астана, Байтурсынова 3",51.1276179,71.4592998
47,"Алматы, мкр Тастак-2, Аносова 44",,
48,"Алматы, Талапты 34/1 к1",,
49,"Астана, М.Ауэзова",,
50,"Алматы, Гоголя 87",43.2600394,76.943449
51,"Астана, E-15 16",51.1274971,71.3650814
52,"Астана, Туркестан 2",51.1192994,71.4294973
53,"Алматы, Шокана Уалиханова 32",50.2819561,57.2182781
54,"Алматы, Аль-Фараби 45",43.2248051,76.9377251
55,"Астана, ул. Шаймердена Косшыгулулы 21",51.171133,71.3814087
56,"Астана, Тауелсиздик 25/1",51.1237434,71.4689049
57,"Алматы, мкр Жулдыз-2 2/2",,
58,"Алматы, Халиулина 3.5",,
59,"Алматы, мкр Нуркент 9.1.1",,
60,"Астана, Алихана Бокейханова 16",,
61,"Алматы, Омаровой 31/1",43.2208508,76.9759494
62,"Астана, Кабанбай батыра",51.1051908,71.4083428
63,"Алматы, ​Приканальная БАК 99а",,
64,"Астана, Бокейхана 25a",51.086851,71.429465
65,"Астана, Ракымжан Кошкарбаев 39",,
66,"Алматы, Бауыржана Момышулы 11/1",51.1384757,71.4691032
67,"Алматы, Толеби 50/54",,
68,"Астана, Куйши Дина 28",51.1487334,71.4815817
69,"Астана, Кайым Мухамедханов 4в",,
70,"Алматы, Айтеке би 123",43.2571204,76.9242601
71,"Астана, Сарыарка 11",51.1636949,71.4067513
72,"Алматы, Навои 208/2",43.2063818,76.8866818
73,"Астана, ул. Жошы хана 12/1",51.1079256,71.4443257
74,"Алматы, Журавлева 26",43.2149862,76.8902691
75,"Астана, Култегин 19",51.1391171,71.3728231
76,"Астана, Е 15",51.1266035,71.3679184
77,"Алматы, ул. Фадеева, 38г 38",43.2696707,76.8833445
78,"Алматы, мкр Кайрат, Мкр. Кайрат",,
79,"Шымкент, мкр Нурсат 2 144",,
80,"Алматы, Микрорайон Таугуль-1 46",43.2134074,76.8815177
81,"Алматы, Аль-Фараби 144",43.2051867,76.9160941
82,"Алматы, ул. Толе би 285/8к10",,
83,"Астана, Туркестан 14А",51.1084646,71.42625
84,"Астана, ул. Азильхана Нуршайыкова 6/1",51.1293831,71.3630359
85,"Шымкент, мкр Север 56",,
86,"Алматы, Халиулина 140/10",,
87,"Астана, Жубан Молдагалиев 10",51.1241672,71.3779817
88,"Астана, Кошкарбаева 1",51.1289713,71.4926108
89,"Астана, Сыганак 12",51.1311244,71.3932162
90,"Астана, Е-36 6",51.1262099,71.3836769
91,"Астана, ул. Иманжусипа Кутпанова 28",51.1904765,71.4186012
92,"Алматы, мкр. Алмагуль 49",,
93,"Алматы, Мкр Таугуль-1 48",,
94,"Шымкент, 189 квартал уч 188/1",,
95,"Алматы, мкр Шугыла, Строительная 340/46",,
96,"Алматы, Володарского 15",43.2311055,76.9318626
97,"Астана, Чингиза Айтматова 36",51.1356147,71.3638821
98,"Астана, Ахмет Байтурсынулы",51.1268182,71.4621602
99,"Алматы, Каирбекова 16",43.2620986,76.9617059
100,"Астана, Иманбаевой 3",51.1601173,71.4357144
101,"Астана, Байтурсынова 16",51.1278137,71.4580125
102,"Астана, ул. Алматы 13",51.1163714,71.4306622
103,"Астана, Просп. Рахимжана Кошкарбаева 32",51.1277724,71.4742851
104,"Алматы, мкр Шугыла, Алтын Орда 6/37",,
105,"Алматы, 118 118",43.2363924,76.9457275
106,"Астана, Улы Дала 41А",51.0977608,71.4144923
107,"Алматы, мкр Аккент",,
108,"Астана, Кошкарбаева 10",51.1264051,71.467968
109,"Астана, Сыганак 2",51.1308707,71.3644713
110,"Алматы, Амангельды уг. Жамбыла",,
111,"Астана, Тауелсиздик 31/4",51.1237434,71.4689049
112,"Алматы, Розыбакиева 289",43.1953342,76.8932249
113,"Астана, Нажимеденов 30/1",51.1106398,71.5277587
114,"Астана, ​Улица А 52, 2 10/2",51.1089195,71.5104632
115,"Астана, Акмешит 1",51.1164708,71.4224621
116,"Алматы, Тлендиева",43.2357273,76.8751749
117,"Алматы, Розыбакиева 320",43.2082321,76.8958046
118,"Алматы, Алтын Орда",43.2322717,76.7727373
119,"Алматы, Сейфуллина 580",43.227937,76.9392075
120,"Шымкент, мкр Шымсити, Байдибек би стр. 127/7",,
121,"Алматы, Муратбаева 14",43.2666331,76.9174813
122,"Алматы, ул. Кенесары хана 54/28",43.1710437,76.8726738
123,"Астана, мкр Комсомольский, Бухар Жырау 42",,
124,"Астана, ул. Ахмета Байтурсынова 1",51.1173344,71.5234369
125,"Астана, Байтурсынова 12",51.1234897,71.4792534
