feature,importance
district,18.458987223129412
residential_complex,11.403403446756618
ceiling_height,10.92256322756457
house_age,9.128448832219508
area,6.905935714329028
condition,5.974317121821027
lon,5.834647981804107
total_floors,5.663076771094836
lat,4.629807785508781
city,4.62119687767068
description_len,3.8608136566139044
house_type,3.2066424836790786
bathroom,3.1186591496727236
floor_ratio,2.439209316456917
rooms,1.6150792242354381
floor,1.161800723809805
coordinates_found,0.6613970089579838
is_last_floor,0.23149365702420208
is_first_floor,0.1625197976514505
