feature,importance
district,15.930300666077773
house_age,10.34502097070004
ceiling_height,10.160111084815965
residential_complex,9.975881310736444
city,7.66694233208545
area,7.541387970975009
condition,6.224827817907827
total_floors,5.915384167045565
lon,4.9235195591796
lat,4.736768408298703
description_len,4.082993200459551
house_type,3.209980797715345
bathroom,2.4925988856577206
floor_ratio,2.3620611876028437
rooms,1.918385929296047
floor,1.0007408911116487
coordinates_found,0.7264535649922476
is_last_floor,0.5431521344069823
is_first_floor,0.2434891209353625
